id;name;geoid;geoname;value;datetime
1293;Demanda real;;;22515.5;2026-04-09T02:00:00+02:00
1293;Demanda real;;;22017.083;2026-04-09T03:00:00+02:00
1293;Demanda real;;;21907.833;2026-04-09T04:00:00+02:00
1293;Demanda real;;;22354.083;2026-04-09T05:00:00+02:00
1293;Demanda real;;;25233.667;2026-04-09T06:00:00+02:00
1293;Demanda real;;;28773.417;2026-04-09T07:00:00+02:00
1293;Demanda real;;;30557.667;2026-04-09T08:00:00+02:00
1293;Demanda real;;;31891.833;2026-04-09T09:00:00+02:00
1293;Demanda real;;;32352.167;2026-04-09T10:00:00+02:00
1293;Demanda real;;;32197.083;2026-04-09T11:00:00+02:00
1293;Demanda real;;;32193.583;2026-04-09T12:00:00+02:00
1293;Demanda real;;;32260.583;2026-04-09T13:00:00+02:00
1293;Demanda real;;;31666.917;2026-04-09T14:00:00+02:00
1293;Demanda real;;;30724.75;2026-04-09T15:00:00+02:00
1293;Demanda real;;;30290.833;2026-04-09T16:00:00+02:00
1293;Demanda real;;;30561.833;2026-04-09T17:00:00+02:00
1293;Demanda real;;;30764.667;2026-04-09T18:00:00+02:00
1293;Demanda real;;;30399.167;2026-04-09T19:00:00+02:00
1293;Demanda real;;;31105.75;2026-04-09T20:00:00+02:00
1293;Demanda real;;;32193.083;2026-04-09T21:00:00+02:00
1293;Demanda real;;;29541.583;2026-04-09T22:00:00+02:00
1293;Demanda real;;;26604.417;2026-04-09T23:00:00+02:00
