id;name;geoid;geoname;value;datetime
1293;Demanda real;;;22807.917;2026-09-19T02:00:00+02:00
1293;Demanda real;;;22233.0;2026-09-19T03:00:00+02:00
1293;Demanda real;;;21918.667;2026-09-19T04:00:00+02:00
1293;Demanda real;;;21670.25;2026-09-19T05:00:00+02:00
1293;Demanda real;;;22314.0;2026-09-19T06:00:00+02:00
1293;Demanda real;;;23304.5;2026-09-19T07:00:00+02:00
1293;Demanda real;;;24677.0;2026-09-19T08:00:00+02:00
1293;Demanda real;;;27753.917;2026-09-19T09:00:00+02:00
1293;Demanda real;;;30340.167;2026-09-19T10:00:00+02:00
1293;Demanda real;;;30690.25;2026-09-19T11:00:00+02:00
1293;Demanda real;;;30507.167;2026-09-19T12:00:00+02:00
1293;Demanda real;;;30682.583;2026-09-19T13:00:00+02:00
1293;Demanda real;;;30437.583;2026-09-19T14:00:00+02:00
1293;Demanda real;;;29569.917;2026-09-19T15:00:00+02:00
1293;Demanda real;;;29201.0;2026-09-19T16:00:00+02:00
1293;Demanda real;;;29962.333;2026-09-19T17:00:00+02:00
1293;Demanda real;;;30021.75;2026-09-19T18:00:00+02:00
1293;Demanda real;;;28928.667;2026-09-19T19:00:00+02:00
1293;Demanda real;;;28626.167;2026-09-19T20:00:00+02:00
1293;Demanda real;;;28629.833;2026-09-19T21:00:00+02:00
1293;Demanda real;;;26712.75;2026-09-19T22:00:00+02:00
1293;Demanda real;;;24914.5;2026-09-19T23:00:00+02:00
