id;name;geoid;geoname;value;datetime
1293;Demanda real;;;24876.333;2026-09-15T02:00:00+02:00
1293;Demanda real;;;24435.25;2026-09-15T03:00:00+02:00
1293;Demanda real;;;24195.083;2026-09-15T04:00:00+02:00
1293;Demanda real;;;24514.833;2026-09-15T05:00:00+02:00
1293;Demanda real;;;26726.75;2026-09-15T06:00:00+02:00
1293;Demanda real;;;29967.083;2026-09-15T07:00:00+02:00
1293;Demanda real;;;31756.917;2026-09-15T08:00:00+02:00
1293;Demanda real;;;34515.583;2026-09-15T09:00:00+02:00
1293;Demanda real;;;36510.333;2026-09-15T10:00:00+02:00
1293;Demanda real;;;37236.5;2026-09-15T11:00:00+02:00
1293;Demanda real;;;37493.833;2026-09-15T12:00:00+02:00
1293;Demanda real;;;37997.083;2026-09-15T13:00:00+02:00
1293;Demanda real;;;38105.583;2026-09-15T14:00:00+02:00
1293;Demanda real;;;37861.333;2026-09-15T15:00:00+02:00
1293;Demanda real;;;38051.917;2026-09-15T16:00:00+02:00
1293;Demanda real;;;38582.0;2026-09-15T17:00:00+02:00
1293;Demanda real;;;38222.833;2026-09-15T18:00:00+02:00
1293;Demanda real;;;36608.5;2026-09-15T19:00:00+02:00
1293;Demanda real;;;35588.333;2026-09-15T20:00:00+02:00
1293;Demanda real;;;34507.75;2026-09-15T21:00:00+02:00
1293;Demanda real;;;31224.167;2026-09-15T22:00:00+02:00
1293;Demanda real;;;28577.25;2026-09-15T23:00:00+02:00
